"Okres sprawozdawczy:";"Dane roczne";
"Kategoria:";"NARODOWE SPISY POWSZECHNE";
"Grupa:";"NSP 2011 - LUDNOŚĆ";
"Podgrupa:";"Ludność wg płci i lokalizacji";
"Wymiary:";"Lokalizacje, Płeć, Lata";
"Kod";"Jednostka terytorialna";"ogółem";"ogółem";"ogółem";
;;"ogółem";"mężczyźni";"kobiety";
;;"2011";"2011";"2011";
;;"[osoba]";"[osoba]";"[osoba]";
"0201011";"Bolesławiec * (1)";"40209";"19023";"21186";
"0201022";"Bolesławiec * (2)";"13594";"6762";"6832";
"0201032";"Gromadka * (2)";"5523";"2758";"2765";
"0201043";"Nowogrodziec * (3)";"15232";"7480";"7752";
"0201052";"Osiecznica * (2)";"7585";"3824";"3761";
"0201062";"Warta Bolesławiecka * (2)";"8327";"4156";"4171";
"0202011";"Bielawa * (1)";"31699";"14747";"16952";
"0202021";"Dzierżoniów * (1)";"34951";"16374";"18577";
"0202031";"Pieszyce * (1)";"9689";"4641";"5048";
"0202041";"Piława Górna * (1)";"6805";"3257";"3548";
"0202052";"Dzierżoniów * (2)";"9396";"4663";"4733";
"0202062";"Łagiewniki * (2)";"7592";"3699";"3893";
"0202073";"Niemcza * (3)";"5886";"2893";"2993";
"0203011";"Głogów * (1)";"69608";"33709";"35899";
"0203022";"Głogów * (2)";"6223";"3092";"3131";
"0203032";"Jerzmanowa * (2)";"4185";"2090";"2095";
"0203042";"Kotla * (2)";"4315";"2142";"2173";
"0203052";"Pęcław * (2)";"2363";"1197";"1166";
"0203062";"Żukowice * (2)";"3619";"1865";"1754";
"0204013";"Góra * (3)";"20963";"10308";"10655";
"0204022";"Jemielno * (2)";"3174";"1583";"1591";
"0204032";"Niechlów * (2)";"5182";"2594";"2588";
"0204043";"Wąsosz * (3)";"7498";"3750";"3748";
"0205011";"Jawor * (1)";"24340";"11699";"12641";
"0205023";"Bolków * (3)";"11162";"5515";"5647";
"0205032";"Męcinka * (2)";"4953";"2477";"2476";
"0205042";"Mściwojów * (2)";"4206";"2086";"2120";
"0205052";"Paszowice * (2)";"3978";"2051";"1927";
"0205062";"Wądroże Wielkie * (2)";"4095";"2054";"2041";
"0206011";"Karpacz * (1)";"5026";"2353";"2673";
"0206021";"Kowary * (1)";"11784";"5561";"6223";
"0206031";"Piechowice * (1)";"6565";"3138";"3427";
"0206041";"Szklarska Poręba * (1)";"7002";"3286";"3716";
"0206052";"Janowice Wielkie * (2)";"4276";"2162";"2114";
"0206062";"Jeżów Sudecki * (2)";"6777";"3296";"3481";
"0206072";"Mysłakowice * (2)";"10197";"4945";"5252";
"0206082";"Podgórzyn * (2)";"8120";"3985";"4135";
"0206092";"Stara Kamienica * (2)";"5387";"2662";"2725";
"0207011";"Kamienna Góra * (1)";"20734";"9981";"10753";
"0207022";"Kamienna Góra * (2)";"8910";"4449";"4461";
"0207033";"Lubawka * (3)";"11602";"5674";"5928";
"0207042";"Marciszów * (2)";"4713";"2353";"2360";
"0208011";"Duszniki-Zdrój * (1)";"5029";"2355";"2674";
"0208021";"Kłodzko * (1)";"28750";"13531";"15219";
"0208031";"Kudowa-Zdrój * (1)";"10429";"4952";"5477";
"0208041";"Nowa Ruda * (1)";"23896";"11467";"12429";
"0208051";"Polanica-Zdrój * (1)";"6799";"3093";"3706";
"0208063";"Bystrzyca Kłodzka * (3)";"19823";"9576";"10247";
"0208072";"Kłodzko * (2)";"17228";"8501";"8727";
"0208083";"Lądek-Zdrój * (3)";"8820";"4177";"4643";
"0208092";"Lewin Kłodzki * (2)";"1983";"944";"1039";
"0208103";"Międzylesie * (3)";"7594";"3804";"3790";
"0208112";"Nowa Ruda * (2)";"12272";"6063";"6209";
"0208123";"Radków * (3)";"9460";"4760";"4700";
"0208133";"Stronie Śląskie * (3)";"7833";"3771";"4062";
"0208143";"Szczytna * (3)";"7477";"3750";"3727";
"0209011";"Chojnów * (1)";"14367";"6858";"7509";
"0209022";"Chojnów * (2)";"9466";"4771";"4695";
"0209032";"Krotoszyce * (2)";"3182";"1574";"1608";
"0209042";"Kunice * (2)";"5903";"2906";"2997";
"0209052";"Legnickie Pole * (2)";"5127";"2332";"2795";
"0209062";"Miłkowice * (2)";"6290";"3093";"3197";
"0209073";"Prochowice * (3)";"7566";"3759";"3807";
"0209082";"Ruja * (2)";"2726";"1377";"1349";
"0210011";"Lubań * (1)";"22300";"10548";"11752";
"0210021";"Świeradów-Zdrój * (1)";"4498";"2100";"2398";
"0210033";"Leśna * (3)";"10566";"5231";"5335";
"0210042";"Lubań * (2)";"6515";"3277";"3238";
"0210053";"Olszyna * (3)";"6707";"3312";"3395";
"0210062";"Platerówka * (2)";"1665";"843";"822";
"0210072";"Siekierczyn * (2)";"4609";"2266";"2343";
"0211011";"Lubin * (1)";"75357";"36290";"39067";
"0211022";"Lubin * (2)";"13448";"6784";"6664";
"0211032";"Rudna * (2)";"7548";"3740";"3808";
"0211043";"Ścinawa * (3)";"10520";"5241";"5279";
"0212013";"Gryfów Śląski * (3)";"10249";"4947";"5302";
"0212023";"Lubomierz * (3)";"6212";"3074";"3138";
"0212033";"Lwówek Śląski * (3)";"18097";"8819";"9278";
"0212043";"Mirsk * (3)";"9008";"4346";"4662";
"0212053";"Wleń * (3)";"4453";"2218";"2235";
"0213012";"Cieszków * (2)";"4714";"2341";"2373";
"0213022";"Krośnice * (2)";"8227";"4129";"4098";
"0213033";"Milicz * (3)";"24565";"12059";"12506";
"0214011";"Oleśnica * (1)";"37118";"17760";"19358";
"0214023";"Bierutów * (3)";"10292";"5028";"5264";
"0214032";"Dobroszyce * (2)";"6336";"3168";"3168";
"0214042";"Dziadowa Kłoda * (2)";"4617";"2300";"2317";
"0214053";"Międzybórz * (3)";"5125";"2529";"2596";
"0214062";"Oleśnica * (2)";"12342";"6333";"6009";
"0214073";"Syców * (3)";"16456";"7990";"8466";
"0214083";"Twardogóra * (3)";"13023";"6467";"6556";
