Kod;Jednostka terytorialna;ogó³em;mê¿czyŸni;kobiety
201011;Boles³awiec * (1);40209;19023;21186
201022;Boles³awiec * (2);13594;6762;6832
201032;Gromadka * (2);5523;2758;2765
201043;Nowogrodziec * (3);15232;7480;7752
201052;Osiecznica * (2);7585;3824;3761
201062;Warta Boles³awiecka * (2);8327;4156;4171
202011;Bielawa * (1);31699;14747;16952
202021;Dzier¿oniów * (1);34951;16374;18577
202031;Pieszyce * (1);9689;4641;5048
202041;Pi³awa Górna * (1);6805;3257;3548
202052;Dzier¿oniów * (2);9396;4663;4733
202062;£agiewniki * (2);7592;3699;3893
202073;Niemcza * (3);5886;2893;2993
203011;G³ogów * (1);69608;33709;35899
203022;G³ogów * (2);6223;3092;3131
203032;Jerzmanowa * (2);4185;2090;2095
203042;Kotla * (2);4315;2142;2173
203052;Pêc³aw * (2);2363;1197;1166
203062;¯ukowice * (2);3619;1865;1754
204013;Góra * (3);20963;10308;10655
204022;Jemielno * (2);3174;1583;1591
204032;Niechlów * (2);5182;2594;2588
204043;W¹sosz * (3);7498;3750;3748
205011;Jawor * (1);24340;11699;12641
205023;Bolków * (3);11162;5515;5647
205032;Mêcinka * (2);4953;2477;2476
205042;Mœciwojów * (2);4206;2086;2120
205052;Paszowice * (2);3978;2051;1927
205062;W¹dro¿e Wielkie * (2);4095;2054;2041
206011;Karpacz * (1);5026;2353;2673
206021;Kowary * (1);11784;5561;6223
206031;Piechowice * (1);6565;3138;3427
206041;Szklarska Porêba * (1);7002;3286;3716
206052;Janowice Wielkie * (2);4276;2162;2114
206062;Je¿ów Sudecki * (2);6777;3296;3481
206072;Mys³akowice * (2);10197;4945;5252
206082;Podgórzyn * (2);8120;3985;4135
206092;Stara Kamienica * (2);5387;2662;2725
207011;Kamienna Góra * (1);20734;9981;10753
207022;Kamienna Góra * (2);8910;4449;4461
207033;Lubawka * (3);11602;5674;5928
207042;Marciszów * (2);4713;2353;2360
208011;Duszniki-Zdrój * (1);5029;2355;2674
208021;K³odzko * (1);28750;13531;15219
208031;Kudowa-Zdrój * (1);10429;4952;5477
208041;Nowa Ruda * (1);23896;11467;12429
208051;Polanica-Zdrój * (1);6799;3093;3706
208063;Bystrzyca K³odzka * (3);19823;9576;10247
208072;K³odzko * (2);17228;8501;8727
208083;L¹dek-Zdrój * (3);8820;4177;4643
208092;Lewin K³odzki * (2);1983;944;1039
208103;Miêdzylesie * (3);7594;3804;3790
208112;Nowa Ruda * (2);12272;6063;6209
